Ref,Val,Package,PosX,PosY,Rot,Side
"D55","RED","LED_0603_1608Metric",165.000000,-109.000000,90.000000,top
"D56","RED","LED_0603_1608Metric",168.000000,-109.000000,90.000000,top
"D57","RED","LED_0603_1608Metric",171.000000,-109.000000,90.000000,top
"D58","RED","LED_0603_1608Metric",150.000000,-106.000000,90.000000,top
"D59","RED","LED_0603_1608Metric",153.000000,-106.000000,90.000000,top
"D60","RED","LED_0603_1608Metric",156.000000,-106.000000,90.000000,top
"D61","RED","LED_0603_1608Metric",159.000000,-106.000000,90.000000,top
"D62","RED","LED_0603_1608Metric",162.000000,-106.000000,90.000000,top
"D63","RED","LED_0603_1608Metric",165.000000,-106.000000,90.000000,top
"D64","RED","LED_0603_1608Metric",168.000000,-106.000000,90.000000,top
"D65","RED","LED_0603_1608Metric",171.000000,-106.000000,90.000000,top
"D66","RED","LED_0603_1608Metric",174.000000,-115.000000,90.000000,top
"D67","RED","LED_0603_1608Metric",177.000000,-115.000000,90.000000,top
"D68","RED","LED_0603_1608Metric",180.000000,-115.000000,90.000000,top
"D69","RED","LED_0603_1608Metric",183.000000,-115.000000,90.000000,top
"D70","RED","LED_0603_1608Metric",186.000000,-115.000000,90.000000,top
"D71","RED","LED_0603_1608Metric",189.000000,-115.000000,90.000000,top
"D72","RED","LED_0603_1608Metric",192.000000,-115.000000,90.000000,top
"D73","RED","LED_0603_1608Metric",195.000000,-115.000000,90.000000,top
"D74","RED","LED_0603_1608Metric",174.000000,-121.000000,90.000000,top
"D75","RED","LED_0603_1608Metric",177.000000,-121.000000,90.000000,top
"D76","RED","LED_0603_1608Metric",180.000000,-121.000000,90.000000,top
"D77","RED","LED_0603_1608Metric",183.000000,-121.000000,90.000000,top
"D78","RED","LED_0603_1608Metric",186.000000,-121.000000,90.000000,top
"D79","RED","LED_0603_1608Metric",189.000000,-121.000000,90.000000,top
"D80","RED","LED_0603_1608Metric",192.000000,-121.000000,90.000000,top
"D81","RED","LED_0603_1608Metric",195.000000,-121.000000,90.000000,top
"D82","RED","LED_0603_1608Metric",174.000000,-118.000000,90.000000,top
"D83","RED","LED_0603_1608Metric",177.000000,-118.000000,90.000000,top
"D84","RED","LED_0603_1608Metric",180.000000,-118.000000,90.000000,top
"D85","RED","LED_0603_1608Metric",183.000000,-118.000000,90.000000,top
"D86","RED","LED_0603_1608Metric",186.000000,-118.000000,90.000000,top
"D87","RED","LED_0603_1608Metric",189.000000,-118.000000,90.000000,top
