Designator,Mid X,Mid Y,Rotation,Layer
D201,195.0,-142.0,90.0,top
D202,174.0,-124.0,90.0,top
D203,177.0,-124.0,90.0,top
D204,180.0,-124.0,90.0,top
D205,183.0,-124.0,90.0,top
D206,186.0,-124.0,90.0,top
D207,189.0,-124.0,90.0,top
D208,192.0,-124.0,90.0,top
D209,195.0,-124.0,90.0,top
D21,159.0,-118.0,90.0,top
D210,174.0,-127.0,90.0,top
D211,177.0,-127.0,90.0,top
D212,180.0,-127.0,90.0,top
D213,183.0,-127.0,90.0,top
D214,186.0,-127.0,90.0,top
D215,189.0,-127.0,90.0,top
D216,192.0,-127.0,90.0,top
D217,195.0,-127.0,90.0,top
D218,198.0,-109.0,90.0,top
D219,201.0,-109.0,90.0,top
D22,162.0,-118.0,90.0,top
D220,204.0,-109.0,90.0,top
D221,207.0,-109.0,90.0,top
D222,210.0,-109.0,90.0,top
D223,213.0,-109.0,90.0,top
D224,216.0,-109.0,90.0,top
D225,219.0,-109.0,90.0,top
D226,198.0,-106.0,90.0,top
D227,201.0,-106.0,90.0,top
D228,204.0,-106.0,90.0,top
D229,207.0,-106.0,90.0,top
D23,165.0,-118.0,90.0,top
D230,210.0,-106.0,90.0,top
D231,213.0,-106.0,90.0,top
D232,216.0,-106.0,90.0,top
D233,219.0,-106.0,90.0,top
D234,174.0,-136.0,90.0,top
D235,177.0,-136.0,90.0,top
D236,180.0,-136.0,90.0,top
D237,183.0,-136.0,90.0,top
D238,186.0,-136.0,90.0,top
D239,189.0,-136.0,90.0,top
D24,168.0,-118.0,90.0,top
D240,192.0,-136.0,90.0,top
D241,195.0,-136.0,90.0,top
D242,174.0,-133.0,90.0,top
D243,177.0,-133.0,90.0,top
D244,180.0,-133.0,90.0,top
D245,183.0,-133.0,90.0,top
D246,186.0,-133.0,90.0,top
D247,189.0,-133.0,90.0,top
D248,192.0,-133.0,90.0,top
D249,195.0,-133.0,90.0,top
D25,171.0,-118.0,90.0,top
D250,174.0,-130.0,90.0,top
D251,177.0,-130.0,90.0,top
D252,180.0,-130.0,90.0,top
D253,183.0,-130.0,90.0,top
D254,186.0,-130.0,90.0,top
D255,189.0,-130.0,90.0,top
D256,192.0,-130.0,90.0,top
D257,195.0,-130.0,90.0,top
D258,150.0,-139.0,90.0,top
D259,153.0,-139.0,90.0,top
D26,150.0,-100.0,90.0,top
D260,156.0,-139.0,90.0,top
D261,159.0,-139.0,90.0,top
D262,162.0,-139.0,90.0,top
D263,165.0,-139.0,90.0,top
D264,168.0,-139.0,90.0,top
D265,171.0,-139.0,90.0,top
D266,150.0,-145.0,90.0,top
D267,153.0,-145.0,90.0,top
D268,156.0,-145.0,90.0,top
D269,159.0,-145.0,90.0,top
D27,153.0,-100.0,90.0,top
D270,162.0,-145.0,90.0,top
D271,165.0,-145.0,90.0,top
D272,168.0,-145.0,90.0,top
D273,171.0,-145.0,90.0,top
D274,222.0,-115.0,90.0,top
D275,225.0,-115.0,90.0,top
D276,228.0,-115.0,90.0,top
D277,231.0,-115.0,90.0,top
D278,234.0,-115.0,90.0,top
D279,237.0,-115.0,90.0,top
D28,156.0,-100.0,90.0,top
D280,240.0,-115.0,90.0,top
D281,243.0,-115.0,90.0,top
D282,222.0,-121.0,90.0,top
D283,225.0,-121.0,90.0,top
D284,228.0,-121.0,90.0,top
D285,231.0,-121.0,90.0,top
D286,234.0,-121.0,90.0,top
D287,237.0,-121.0,90.0,top
D288,240.0,-121.0,90.0,top
D289,243.0,-121.0,90.0,top
D29,159.0,-100.0,90.0,top
D290,150.0,-142.0,90.0,top
D291,153.0,-142.0,90.0,top
D292,156.0,-142.0,90.0,top
D293,159.0,-142.0,90.0,top
D294,162.0,-142.0,90.0,top
D295,165.0,-142.0,90.0,top
D296,168.0,-142.0,90.0,top
D297,171.0,-142.0,90.0,top
D298,150.0,-124.0,90.0,top
D299,153.0,-124.0,90.0,top
D3,153.0,-115.0,90.0,top
D30,162.0,-100.0,90.0,top
D300,156.0,-124.0,90.0,top
D301,159.0,-124.0,90.0,top
D302,162.0,-124.0,90.0,top
D303,165.0,-124.0,90.0,top
D304,168.0,-124.0,90.0,top
D305,171.0,-124.0,90.0,top
D306,150.0,-127.0,90.0,top
D307,153.0,-127.0,90.0,top
D308,156.0,-127.0,90.0,top
D309,159.0,-127.0,90.0,top
D31,165.0,-100.0,90.0,top
D310,162.0,-127.0,90.0,top
D311,165.0,-127.0,90.0,top
D312,168.0,-127.0,90.0,top
D313,171.0,-127.0,90.0,top
D314,150.0,-136.0,90.0,top
D315,153.0,-136.0,90.0,top
D316,156.0,-136.0,90.0,top
D317,159.0,-136.0,90.0,top
D318,162.0,-136.0,90.0,top
D319,165.0,-136.0,90.0,top
D32,168.0,-100.0,90.0,top
D320,168.0,-136.0,90.0,top
D321,171.0,-136.0,90.0,top
D322,150.0,-133.0,90.0,top
D323,153.0,-133.0,90.0,top
D324,156.0,-133.0,90.0,top
D325,159.0,-133.0,90.0,top
D326,162.0,-133.0,90.0,top
D327,165.0,-133.0,90.0,top
D328,168.0,-133.0,90.0,top
D329,171.0,-133.0,90.0,top
D33,171.0,-100.0,90.0,top
D330,150.0,-130.0,90.0,top
D331,153.0,-130.0,90.0,top
D332,156.0,-130.0,90.0,top
D333,159.0,-130.0,90.0,top
D334,162.0,-130.0,90.0,top
D335,165.0,-130.0,90.0,top
D336,168.0,-130.0,90.0,top
D337,171.0,-130.0,90.0,top
D338,222.0,-118.0,90.0,top
D339,225.0,-118.0,90.0,top
D34,150.0,-103.0,90.0,top
D340,228.0,-118.0,90.0,top
D341,231.0,-118.0,90.0,top
D342,234.0,-118.0,90.0,top
D343,237.0,-118.0,90.0,top
D344,240.0,-118.0,90.0,top
D345,243.0,-118.0,90.0,top
D346,222.0,-100.0,90.0,top
D347,225.0,-100.0,90.0,top
D348,228.0,-100.0,90.0,top
D349,231.0,-100.0,90.0,top
D35,153.0,-103.0,90.0,top
D350,234.0,-100.0,90.0,top
D351,237.0,-100.0,90.0,top
D352,240.0,-100.0,90.0,top
D353,243.0,-100.0,90.0,top
D354,198.0,-139.0,90.0,top
D355,201.0,-139.0,90.0,top
D356,204.0,-139.0,90.0,top
D357,207.0,-139.0,90.0,top
D358,210.0,-139.0,90.0,top
D359,213.0,-139.0,90.0,top
D36,156.0,-103.0,90.0,top
